"equipment_id","vin","year","description","ownership","mileage","contract_id","notes","status","driver_id"
"PU2-20","1FT7W2B61JEC43217",2018,"Ford F-250 XLT Super Duty Crew Cab","Owned",90000,,"Doug Hager - Temporary Use","Active",
"PU2-21","3C6UR5HL3KG559700",2019,"Dodge Ram 2500 Tradesman Crew Cab","Financed",123860,104,"","Active",
"PU2-27","1B7KF23671J263679",2001,"Dodge Ram 2500 Quad Cab","Owned",0,12,"","Active",
"PU2-30","1GB0CVCG3BF181953",2011,"Chevrolet Silverado 2500HD Work Truck Crew Cab","Owned",0,,"","Active",
"PU2-35","3C6UR5DL4GG187345",2016,"Dodge Ram 2500 SLT Crew Cab","Financed",272418,21,"","Active",21
"PU3-01","1FT8W3DT7FEB74912",2015,"Ford F-350 Lariat Super Duty Crew Cab","Unknown",0,,"","Active",22
"PU3-03","1FDWE3FK7PDD16855",2023,"Landscape Dovetail","Financed",0,114,"","Active",5
"PU3-05","1HTKHPVK2KH260167",2019,"Chevrolet Silverado 5500HD","Financed",25910,44,"","Active",
"PU3-06","1FDWE35L16DA17368",2006,"Ford E-350 Landscape Dovetail","Newly Owned",39064,,"","Active",
"PU3-08","1GB4CZCG6BF154920",2011,"Chevrolet C3500","Owned",44567,,"","Active",
"PU3-09","1GB4KZC81EF137541",2014,"Chevrolet K3500","InterCo",156400,11,"","Active",23
"PU3-11","1HTKJPVKXMH622530",2021,"Chevrolet Silverado 4500HD","Financed",222655,98,"","Active",
"PU3-12","1HTKJPVKANH463024",2022,"Chevrolet Silverado 4500HD Dump Truck","Financed",0,97,"","Active",
"PU3-13","1HTKJPVK4NH456135",2022,"Chevrolet 5500","Financed",0,96,"","Active",
"PU3-14","3C7WDLELXCGZ13575",2012,"Dodge Ram 4500","Financed",191569,93,"","Active",
"PU3-15","3C7WRTCL7HG779057",2017,"Dodge Ram 3500","InterCo",91568,102,"","Active",
"PU3-17","1FT8W3DT6KED06696",2019,"Ford F-350 Super Duty Crew Cab","InterCo",0,35,"","Active",24
"PU3-18","3D6WA7CLXBG595860",2011,"Dodge Ram 5500","InterCo",0,15,"","Active",
"PU3-19","1FD8W3FT3GEA60951",2016,"Ford F350 SRW Service Bed","InterCo",0,17,"","Active",
"PU3-20","1FD8W3DT3CEC31369",2012,"Ford F-350 XL Super Duty Crew Cab","Financed",0,45,"","Active",
"PU3-21","3D7MS48C15G829220",2005,"Dodge Ram 3500 SLT Quad Cab","Owned",193245,73,"","Active",
"PU3-26","1GBJC34D46E208232",2006,"Chevrolet 3500","InterCo",0,42,"","Active",
"PU3-27","3B7MF33D9VM506785",1997,"Dodge Ram 3500 Club Cab","Owned",0,,"","Active",
"PU3-29","1GB6CZBK1AF125466",2010,"Chevrolet 3500 Leaf Truck","Owned",0,,"","Active",
"PU3-30","1GBJK39658E162300",2008,"Chevrolet","Owned",0,,"Formerly LC-10","Active",
"PU4-01","3C7WRLEL2EG203076",2014,"Dodge Ram 4500","InterCo",0,109,"","Active",25
"PU4-03","3C7WRLEL7GG357897",2016,"Dodge Ram 4500","InterCo",0,33,"","Active",26
"PU4-05","1FD0W4GTXGEA60947",2016,"Ford F-450","Owned",0,93,"Title received still on lease","Active",
"PU5-02","3C7WRNFL6EG131597",2014,"Dodge Ram 5500","InterCo",0,108,"","Active",
"PU5-05","1FDAF56P26ED71737",2006,"Ford F-550 Flatbed","Newly Owned",0,,"","Active",
"PU5-07","1FDUF5HT5GEA83137",2016,"Ford F-550","InterCo",0,36,"","Active",
"PU5-09","1FD0W5HT6HED29466",2017,"Ford F-550","InterCo",0,42,"","Active",
"PU5-15","1HTKSPVK1MH466863",2021,"Chevrolet 5500","Financed",0,74,"","Active",
"SWM-1","1FTFX1EF2HKD23992",2017,"Ford F-150 XL Super Cab","InterCo",0,13,"","Active",
"SWM-2","1HTKHPVKXKH619071",2019,"SWM Chevrolet 5500 Pump Truck","Financed",0,2,"","Active",27
"SWM-3","1FDUF5GT6MDA08207",2021,"SWM Ford F-550 Pump Truck","Financed",0,113,"","Active",28
"SWM-4","1HTKHPVK6NH019829",2022,"Chevrolet Silverado Medium Duty","Financed",0,112,"","Active",
"TRL-02","11RF27201P1012466",1993,"Reids Trailer","Newly Owned",0,,"","Active",
"TRL-08","1L9GA72A7EL033362",2014,"Ledwell Hydraulic Trailer","InterCo",0,108,"","Active",
"TRL-10","5VGFD2222HL005012",2017,"Kaufman Trailer","Unknown",0,,"VIN not recognized by NTHSA","Active",
"TRL-16","7H2BF1210ND038600",2022,"Rock Solid Cargo Trailer","Owned",0,,"VIN not recognized by NTHSA","Active",
"TRL-17","2M9PUF3B4NM010119",0,"Expl Trailer","Owned",0,,"VIN not recognized by NTHSA","Active",
"TRL-18","5JYPT22206P061866",2006,"Pitts Log Trailer","Financed",0,,"Bundled for sale with TT-03","Active",
"TRL-19","5VGFH3023HL001757",2017,"Kaufman Trailer","Owned",0,,"","Active",
"TRL-22","7JEPU1620JG000190",2018,"Lucon Custom Trailer","Financed",0,,"VIN not recognized by NHTSA","Active",
"TRL-23","16V1U202XN3114099",2022,"Big Tex Trailer","Owned",0,,"","Active",
"TRL-27","7H2BE1628ND039996",2022,"Rock Solid Trailer","Owned",0,,"","Active",
"TRL-30","1G9DD3023KB336814",2019,"Globe Trailer","Financed",0,130,"VIN not recognized by NHTSA","Active",
"TRL1-01","16V1D2126N5161360",2022,"Big Tex Trailer","Newly Owned",0,,"","Active",
"TRL1-02","112LPT203HT090149",1987,"Eager Beaver Trailer","Newly Owned",0,,"","Active",
"TRL1-03","10HHTMBG8J2000044",2018,"Hudson Overdeck Trailer","Sold",0,,"","Active",
"TRL1-04","5E7L42028NR005367",0,"Kraftsman Trailer","Owned",0,,"VIN not recognized by the NHTSA","Active",
"TRL1-05","5E7E61826NA002032",0,"Kraftsman Trailer","Unknown",0,,"","Active",
"TRL1-09","1L9PU1829HG423168",2016,"Lucon Trailer","Newly Owned",0,,"","Active",
"TRL1-10","16V1C2728L2078988",2020,"Big Tex Tandem Trailer","InterCo",0,36,"","Active",
"TRL1-11","10HHS1400B1000001",2011,"Hudson Trailer Dual Tandem","Owned",0,,"VIN not recognized by NHTSA","Active",
"TRL1-12","10HHTD1D9T1000358",1996,"Hudson Deckover","Unknown",0,,"VIN not recognized by NHTSA Need to verify ownership with the DMV","Active",
"TRL1-13","5L2FE16283L000214",0,"Unknown Trailer","Unknown",0,,"","Active",
"TRL1-14","10HH5HBG5C1000003",2012,"Hudson Deckover Trailer","Owned",0,,"VIN not recognized by NHTSA","Active",
"TRL1-15","1E1D1M281MR074895",2020,"East Aluminum Dump Trailer","Unknown",0,,"","Active",
"TRL1-17","5E7FS2529MA001837",2021,"Kraftsman Trailer  FS-18","Owned",0,,"VIN not recognized by NHTSA","Active",
"TRL1-19","1C9US1820WR615184",1998,"Unknown","Newly Owned",0,,"","Active",
"TRL1-25","459514916NW323214",0,"SCAG Leaf Vac Trailer","Owned",0,,"VIN not recognized by NHTSA","Active",
"TRL2-04","40FSK5433M1039814",2021,"Talbert Trailer T455 Lowboy","Financed",0,,"","Active",
"TT-01","1XP5DB0X87N730236",2007,"Peterbilt 379","InterCo",0,20,"","Active",
"TT-02","1XPXP4EX1KD262496",2019,"Peterbilt Road Tractor","InterCo",0,38,"","Active",
"TT-03","1NKDLBOX8XJ818905",1999,"Kenworth T800","Financed",0,14,"","Active",
"TT-06","1M2P264C11RM01713",1994,"Mack Dump Truck (Blue)","Owned",0,,"","Active",
"TT-07","IM2P264CXXM029200",1999,"Mack Dump Truck (Green)","Owned",0,,"","Active",
"TT-08","1FUJA6CKX6LW10487",2006,"Frieghtliner","Owned",0,,"","Active",
"WT-01","5PVNV8JJ2C4S50057",2012,"Hino Water Truck 2500 gal.","InterCo",0,30,"","Active",
