"contract_id","lender","owned_company","contract_number","down_payment","financed_amount","interest_rate","loan_term","monthly_payment","remaining_payments","start_date","loan_satisfied_date","loan_status","link_to_contract"
19,"Balboa Capital","Nest Homes","350115-013",0,50245.1,7.95,60,1017.59,,"2022-02-17",,"Active",
20,"Balboa Capital","Nest Homes","350115-016",0,78190,10.95,48,2018.96,,"2022-07-20",,"Active",
21,"Balboa Capital","Land Crafters","367327-001",0,86167.85,7.95,60,1745.11,,"2022-04-20",,"Active",
22,"CAT Financial","Land Crafters","001-70040199",0,138107.5,4.5,60,2574.74,,,,"Active",
23,"CAT Financial","Land Crafters","001-70040201",0,139175,4.5,60,2594.64,,,,"Active",
24,"CAT Financial","Land Crafters","001-70053189",0,84795.07,0,60,1413.25,,,,"Active",
25,"CAT Financial","Land Crafters","001-70059838",0,73481.29,0,60,1224.69,,,,"Active",
26,"CAT Financial","Land Crafters","001-70060618",44829,202339.99,4.9,60,3809.14,,,,"Active",
27,"CAT Financial","Land Crafters","001-70067270",0,43014.6,5.65,55,889.54,,,,"Active",
28,"CAT Financial","Land Crafters","001-70068568",0,60886.03,5.65,55,1259.12,,,,"Active",
29,"CIT (First Citizens)","Nest Homes","083-0008366-000",,,6.5,60,909.72,,,,"Active",
30,"CIT (First Citizens)","Nest Homes","083-0008497-000",,,5,60,1685.93,,,,"Active",
31,"CIT (First Citizens)","Nest Homes","083-0008561-000",,,5,60,1375.43,,,,"Active",
32,"CIT (First Citizens)","Nest Homes","083-0008811-000",,,5,60,627.69,,,,"Active",
33,"CIT (First Citizens)","Nest Homes","083-0009034-000",,,5,60,1358.07,,,,"Active",
34,"CIT (First Citizens)","Nest Homes","083-0009597-000",,,5.5062,60,1963.29,,,,"Active",
35,"CIT (First Citizens)","Nest Homes","083-0009694-000",,,6.5,60,1070.73,,,,"Active",
36,"CIT (First Citizens)","Nest Homes","083-0009796-000",,,6.3,60,5279.36,,,,"Active",
37,"CIT (First Citizens)","Nest Homes","083-0010282-000",,,6.5,48,1919.18,,,,"Active",
38,"CIT (First Citizens)","Nest Homes","083-0010318-000",,,6.5,60,3286.82,,,,"Active",
39,"CIT (First Citizens)","Land Crafters","083-0010882-000",,,4.95,36,2131.35,,,,"Active",
40,"CIT (First Citizens)","Nest Homes","083-0012027-000",,,6.5,60,1277.08,,,,"Active",
41,"CIT (First Citizens)","Nest Homes","083-0012144-000",,,,60,823.15,,"2022-05-12",,"Active",
42,"CIT (First Citizens)","Nest Homes","083-0012341-000",,,7.25,60,1442.61,,,,"Active",
43,"CIT (First Citizens)","Nest Homes","097-0148201-000",,,,60,997.55,,,,"Active",
44,"CIT (First Citizens)","Nest Homes","097-0149129-000",,,,48,2599.43,,,,"Active",
45,"CIT (First Citizens)","Nest Homes","097-0149668-000",,,,36,1276.75,,,,"Active",
46,"CNH Industrial Capital America LLC","Sidenbury Holdings","234501",0,70286,0,60,1152.23,,,,"Active",
47,"CNH Industrial Capital America LLC","Nest Homes","239189",7199,312718.02,5.99,60,5211.96,,,,"Active",
48,"CNH Industrial Capital America LLC","Sidenbury Holdings","275758",0,169581.23,3.99,60,2826.35,,,,"Active",
49,"CNH Industrial Capital America LLC","Land Crafters","287837",0,220624.94,3.99,60,3677.08,,,,"Active",
50,"CNH Industrial Capital America LLC","Land Crafters","287839",0,198699.61,3.99,60,3311.66,,,,"Active",
51,"CNH Industrial Capital America LLC","Land Crafters","287840",0,71168.79,3.99,60,1186.15,,,,"Active",
52,"CNH Industrial Capital America LLC","Land Crafters","287843",0,212742.56,3.99,60,3545.71,,,,"Active",
53,"CNH Industrial Capital America LLC","Land Crafters","287846",0,138423.76,3.99,60,2307.06,,"2021-12-24",,"Active",
54,"CNH Industrial Capital America LLC","Sidenbury Holdings","313571",0,713287.35,4.54,60,11888.13,,"2022-05-01",,"Active",
55,"CNH Industrial Capital America LLC","Sidenbury Holdings","314989",0,334794.46,4.79,60,5579.9,,"2022-05-05",,"Active",
56,"CNH Industrial Capital America LLC","Sidenbury Holdings","315616",0,101820.78,4.79,60,1697.02,,"2022-05-08",,"Active",
57,"CNH Industrial Capital America LLC","Sidenbury Holdings","321403",0,156073.76,5.59,60,2601.23,,"2022-06-05",,"Active",
58,"Equify","Nest Homes","13621L",,,,60,92445,,,,"Active",
59,"GM Financial","Land Crafters","211070589902",2250,64451.85,8.99,72,1161.75,66,"2023-06-01",,"Active",
60,"GM Financial","Land Crafters","211070552496",2250,64451.85,8.99,72,1161.75,66,"2023-05-01",,"Active",
61,"GM Financial","Land Crafters","211070552520",250,70109.38,8.99,72,1263.73,66,"2023-05-01",,"Active",
62,"Komatsu","Land Crafters","777-0164145-000",0,322283.82,0.99,48,6850.83,,"2022-02-10",,"Active",
63,"Komatsu","Land Crafters","777-0164145-001",0,211505.6,0.99,48,4496.01,,"2022-02-28",,"Active",
64,"Komatsu","Land Crafters","777-0164145-002",0,186758.81,0.99,48,3969.96,,"2022-03-20",,"Active",
65,"Komatsu","Land Crafters","777-0164145-003",0,642663.51,0.99,48,13661.19,,"2022-04-05",,"Active",
66,"Komatsu","Land Crafters","777-0164145-004",0,232876.76,1.49,48,5000.62,,"2022-06-15",,"Active",
67,"Komatsu","Land Crafters","777-0164145-005",0,383061.96,1.49,48,8225.59,,"2022-07-08",,"Active",
68,"Komatsu","Land Crafters","777-0164145-006",0,307444,3.99,48,6940.42,,"2022-10-05",,"Active",
69,"Komatsu","Land Crafters","777-0164145-007",0,307444,3.99,48,6940.42,,"2022-10-18",,"Active",
70,"Zaxis Finance - Allegiant","Sidenbury Holdings","134908",,,,72,4408.29,,,,"Active",
71,"Zaxis Finance - Allegiant","Sidenbury Holdings","135310",,,,72,4408.29,,,,"Active",
72,"GM Financial","Land Crafters","211070552519",,64192.29,8.99,72,1157.07,66,"2023-05-01",,"Active",
73,"Balboa Capital","Nest Homes","350115-004",0,33420,7,24,1496.59,0,"2021-10-07","2023-10-07","Satisfied",
74,"Mitsubishi","Land Crafters","006-0363742-001",1500,69988.06,8.5,60,1440.59,,,,"Active",
85,"Flag Star Bank (Signature Financial)","Nest Homes","124289001",,308335.12,5.99,48,7258.91,,"2022-03-10",,"Active",
86,"Flag Star Bank (Signature Financial)","Nest Homes","124289002",,207172.5,6.39,48,4913.24,,"2022-04-10",,"Active",
87,"Flag Star Bank (Signature Financial)","Nest Homes","124289003",,193962.26,6.39,60,3802.57,,"2022-05-10",,"Active",
88,"Flag Star Bank (Signature Financial)","Nest Homes","124289004",,316066.67,6.39,60,6186.57,,"2022-05-10",,"Active",
89,"Flag Star Bank (Signature Financial)","Nest Homes","124289005",,316006.67,6.82,60,6239.29,,"2022-06-10",,"Active",
90,"Flag Star Bank (Signature Financial)","Nest Homes","124289006",,489351.41,6.82,60,9704.54,,"2022-07-10",,"Active",
91,"HomeTrust Bank","Land Crafters","105459-001",,232253.7,4.5,60,4331.53,,"2021-12-01",,"Active",
92,"HomeTrust Bank","Land Crafters","105459-002",,98094.5,4.75,48,2251.2,,"2022-02-01",,"Active",
93,"Huntington","Land Crafters","001-0854565-500",,234978.45,4.75,60,4407.47,,"2021-12-31",,"Active",
94,"Isuzu Finance of America","Land Crafters","LN140850",10000,55700,5.24,48,1288.8,,,,"Active",
95,"Leaf Captial Funding","Land Crafters","100-7284581-001",,98756.35,6.7,60,1941.55,,,,"Active",
96,"Mitsubishi","Land Crafters","006-0363742-002",1500,66736.34,8.5,60,1373.66,,,,"Active",
97,"Mitsubishi","Land Crafters","006-0363742-003",1500,79436.24,8.5,72,1416.85,,,,"Active",
98,"Mitsubishi","Land Crafters","006-0363742-004",1500,73284.05,8.5,72,1307.12,,,,"Active",
99,"Mitsubishi","Land Crafters","006-0363742-005",1500,77062.09,8.5,72,1374.51,,,,"Active",
100,"Mitsubishi","Land Crafters","006-0363742-006",900,58861.99,8.5,72,1049.88,,,,"Active",
101,"Mitsubishi","Land Crafters","006-0363742-007",700,44445.49,8.99,72,803.7,,,,"Active",
102,"Pathward (formerly Crestmark)","Nest Homes","505902-1",0,39545.1,7.69,36,1233.55,,,,"Active",
103,"Pathward (formerly Crestmark)","Nest Homes","505902-3",1000,130722.04,7.69,36,4077.68,,,,"Active",
104,"Pathward (formerly Crestmark)","Land Crafters","508613-1",0,49320.25,9.95,48,1249.71,,,,"Active",
105,"PNC Equipment Finance","Land Crafters","191212",0,195118.75,4.25,48,4427.46,,,,"Active",
106,"PNC Equipment Finance","Land Crafters","193927",0,427155,5.39,48,9912.72,,,,"Active",
107,"US Bank","Nest Homes","507-0008987-000",,50680.72,,60,991.63,,,,"Active",
108,"US Bank","Nest Homes","507-0009002-000",,81944.63,,48,1943.31,,,,"Active",
109,"US Bank","Nest Homes","507-0008892-000",,48590,,48,1152.31,,,,"Active",
110,"De Lage Landen Financial Services","Sidenbury Holdings","500-50407275",,264275,6.5,60,5170.84,,,,"Active",
112,"GM Financial","Sidenbury Holdings","211069765928",,117152.77,9.19,60,2452.07,,,,"Active",
113,"Ford Motor Company","Land Crafters","61105631",5000,62343.29,9.99,60,1329.73,,"2023-04-10",,"Active",
114,"Ford Motor Company","Land Crafters","62004322",5000,90896.11,6.54,60,1785.11,,"2022-05-16",,"Active",
115,"Park National","Nest Homes","1994",,,,60,1803.74,,"2022-06-07",,"Active",
116,"Park National","Nest Homes","2017",,,,60,8126.25,,"2022-09-01",,"Active",
117,"Balboa Capital","Land Crafters","393586-000",1246,48395,,60,995.97,,,,"Active",
118,"Balboa Capital","Land Crafters","393586-001",8269,208611,,60,4321.6,,,,"Active",
119,"CIT (First Citizens)","Nest Homes","083-0012859-000",,62720,,60,1277.75,,"2022-06-29",,"Active",
120,"Sheffield","Sidenbury Holdings","21-073748-1",,15688,0,48,324.75,,"2021-07-29",,"Active",
121,"Wells Fargo","Land Crafters","450-0018392-000",,54310.13,0.181,60,909.33,,,,"Active",
122,"John Deere Financial","Land Crafters","510002341041",,90856.18,10.95,48,2348.82,,"2022-11-16",,"Active",
123,"John Deere Financial","Land Crafters","510002121546",,223599.6,1.9,60,3912.48,,"2021-08-26",,"Active",
124,"John Deere Financial","Land Crafters","510002175423",,68121.33,3.99,48,1538.86,,"2021-12-14",,"Active",
125,"John Deere Financial","Land Crafters","510002387016",,270301.75,5.75,60,5202.71,,"2023-03-23",,"Active",
126,"Blue Bridge Financial","Land Crafters","145797",,334841,,60,5168.56,,,,"Active",
127,"Oakmont Capital Services","Sidenbury Holdings","2109077559",,84540,,60,1653.73,,,,"Active",
128,"De Lage Landen Financial Services","Sidenbury Holdings","500-50407679",,,,,,,,,"Active",
129,"US Bank","Land Crafters","507-0010875-000",,,,,,,,,"Active",
130,"Carolina Farm Credit","Sidenbury Holdings","1",,,8.25,,,,,,"Active",
